Model,Accuracy,Precision,Recall,F1-score
Random Forest Baseline,0.9757775683317624,0.9933494558645707,0.8697723663313923,0.9274626023144228
"1D CNN, threshold=0.50",0.9869462770970783,0.9639544129340047,0.9626786659608259,0.9633161170705867
"1D CNN, threshold=0.68",0.9877945334590009,0.9751552795031055,0.9557967178401271,0.9653789600320812
